,회사명,종목코드,업종,상장일,최근일 거래량
171,아이센스,099190,의료용 기기 제조업,2013-01-30,206793.0
172,아이씨디,040910,특수 목적용 기계 제조업,2011-08-05,883634.0
173,아이씨케이,068940,전자부품 제조업,2010-10-19,1435972.0
174,아이원스,114810,특수 목적용 기계 제조업,2013-02-07,139388.0
175,아이즈비전,031310,전기 통신업,1997-07-25,544378.0
176,아이티센,124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2014-12-23,823922.0
177,알리코제약,260660,의료용품 및 기타 의약 관련제품 제조업,2018-02-12,423488.0
178,알에프세미,096610,반도체 제조업,2007-11-20,73162.0
179,알에프텍,061040,통신 및 방송 장비 제조업,2002-05-16,666204.0
180,알테오젠,196170,자연과학 및 공학 연구개발업,2014-12-12,542902.0
181,에스아이리소스,065420,석탄 광업,2002-08-22,0.0
182,에스에프씨,112240,플라스틱제품 제조업,2011-11-30,0.0
183,에스코넥,096630,통신 및 방송 장비 제조업,2007-12-26,1788492.0
184,에쎈테크,043340,일반 목적용 기계 제조업,2000-08-29,599344.0
185,에이루트,096690,컴퓨터 및 주변장치 제조업,2010-12-01,54624.0
186,에이티넘인베스트,021080,신탁업 및 집합투자업,1991-07-12,640729.0
187,에코프로비엠,247540,일차전지 및 축전지 제조업,2019-03-05,970030.0
188,엑세스바이오,950130,의료용품 및 기타 의약 관련제품 제조업,2013-05-30,777643.0
189,엑시콘,092870,특수 목적용 기계 제조업,2015-10-22,158050.0
190,엔에스엔,031860,상품 종합 도매업,1997-01-07,2410981.0
191,엔터메이트,206400,소프트웨어 개발 및 공급업,2014-12-10,889008.0
192,엔피케이,048830,합성고무 및 플라스틱 물질 제조업,2000-10-12,140410.0
193,엠게임,058630,소프트웨어 개발 및 공급업,2008-12-19,401091.0
194,엠벤처투자,019590,신탁업 및 집합투자업,1989-03-14,884158.0
195,엠씨넥스,097520,영상 및 음향기기 제조업,2012-07-25,867295.0
196,영화테크,265560,자동차 신품 부품 제조업,2017-10-26,115240.0
197,오공,045060,기타 화학제품 제조업,2000-08-10,28618586.0
198,오픈베이스,049480,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2001-01-09,1202631.0
199,옵티시스,109080,통신 및 방송 장비 제조업,2011-07-12,67500.0
200,와이지-원,019210,기타 금속 가공제품 제조업,1997-08-06,728621.0
201,우리바이오,082850,전구 및 조명장치 제조업,2005-07-29,224489.0
202,원익QnC,074600,유리 및 유리제품 제조업,2003-12-12,785976.0
203,원익큐브,014190,기타 전문 도매업,1996-04-26,446762.0
204,원풍물산,008290,봉제의복 제조업,1997-07-18,258961.0
205,웨이브일렉트로,095270,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2007-09-12,185439.0
206,웰크론,065950,직물직조 및 직물제품 제조업,2003-07-29,37631365.0
207,위지트,036090,특수 목적용 기계 제조업,1999-12-10,560363.0
208,유니온커뮤니티,203450,통신 및 방송 장비 제조업,2016-12-07,137207.0
209,유니테크노,241690,자동차 신품 부품 제조업,2016-09-20,17877.0
210,유비쿼스홀딩스,078070,통신 및 방송 장비 제조업,2009-01-23,436530.0
211,유신,054930,"건축기술, 엔지니어링 및 관련 기술 서비스업",2002-01-15,18135.0
212,유안타제5호스팩,336060,금융 지원 서비스업,2019-11-28,10.0
213,유진스팩5호,331380,금융 지원 서비스업,2019-10-02,1744.0
214,유티아이,179900,전자부품 제조업,2017-09-27,260360.0
